node_id,typology_label,sis_score,views,sis_high,views_high
141493,overrated,505.1666666666667,42340657,False,True
98343,non,87533.5,282,False,False
36837,non,6138.0,1129,False,False
30061,non,15494.833333333334,1708,False,False
54013,non,128360.33333333333,2472,False,False
157585,non,5457.833333333333,8535,False,False
62841,non,47821.833333333336,1351,False,False
105041,non,3520.8333333333335,8926,False,False
1966,non,38003.333333333336,3306,False,False
80986,overrated,593.1666666666666,15019409,False,True
87129,non,71277.66666666667,807,False,False
151230,non,41955.0,13933,False,False
17048,non,21470.333333333332,1952,False,False
65788,non,1078.8333333333333,14743,False,False
64605,overrated,442.8333333333333,240718261,False,True
91680,non,41520.5,3849,False,False
84392,hidden,153649.66666666666,184,True,False
141930,non,93161.5,11928,False,False
79768,non,9594.166666666666,4257,False,False
83757,hidden,133179.83333333334,216,True,False
109678,non,19849.333333333332,4432,False,False
37182,non,17409.833333333332,4569,False,False
134405,overrated,10176.666666666666,30868,False,True
103123,non,29926.833333333332,5766,False,False
66786,non,96717.83333333333,5112,False,False
144898,non,69130.33333333333,2373,False,False
24321,non,36746.666666666664,14142,False,False
87479,non,52104.666666666664,1049,False,False
17293,overrated,2598.5,680788,False,True
50129,non,8034.833333333333,9211,False,False
50511,non,38755.166666666664,2250,False,False
8216,non,95884.66666666667,2697,False,False
108538,non,113564.0,3296,False,False
105333,non,72724.83333333333,7188,False,False
134952,non,86379.83333333333,3475,False,False
60384,non,49088.666666666664,4384,False,False
150905,non,14842.333333333334,16178,False,False
113359,non,104857.83333333333,665,False,False
53279,non,18131.333333333332,1110,False,False
73900,non,9214.5,2320,False,False
9068,overrated,615.5,5570823,False,True
133924,non,17554.833333333332,771,False,False
49634,non,81569.33333333333,1174,False,False
54848,non,56595.666666666664,2374,False,False
147773,non,66113.83333333333,2053,False,False
42097,non,87342.66666666667,1400,False,False
73017,non,22488.5,4744,False,False
79010,overrated,2579.1666666666665,137470,False,True
18259,non,11804.166666666666,2615,False,False
111738,non,79186.5,2360,False,False
55012,non,122140.83333333333,111,False,False
5587,non,57865.666666666664,1769,False,False
138216,non,61209.0,278,False,False
131033,non,12129.0,11793,False,False
41764,overrated,12406.5,65005,False,True
129869,non,4132.166666666667,9432,False,False
96169,non,55137.5,1103,False,False
155216,overrated,12858.5,313057,False,True
131128,non,44104.333333333336,6138,False,False
34043,non,11124.333333333334,19646,False,False
52154,overrated,4156.5,546234,False,True
34817,non,74442.33333333333,4831,False,False
64855,non,46770.5,15484,False,False
135417,non,95107.5,124,False,False
359,non,33482.0,5050,False,False
1956,non,14485.166666666666,8299,False,False
55541,non,13595.666666666666,8882,False,False
39517,hidden,150591.0,104,True,False
131812,non,70290.66666666667,1369,False,False
114046,overrated,12936.166666666666,47114,False,True
154601,overrated,23534.333333333332,66060,False,True
156488,overrated,3615.5,75965,False,True
52906,non,68955.16666666667,3132,False,False
102843,non,83306.5,1513,False,False
111532,non,79136.0,3182,False,False
118951,non,43922.666666666664,5069,False,False
53087,non,24201.833333333332,4940,False,False
54642,overrated,4483.833333333333,158368,False,True
5240,overrated,965.5,548881,False,True
134332,overrated,6514.166666666667,36773,False,True
14671,non,22363.5,10924,False,False
47687,non,37896.833333333336,8540,False,False
47048,overrated,32380.666666666668,164541,False,True
17255,non,2546.0,6388,False,False
45772,non,63611.666666666664,4202,False,False
152100,non,91009.83333333333,173,False,False
8872,non,92275.66666666667,1278,False,False
65630,overrated,555.8333333333334,7482663,False,True
84308,non,69417.5,8518,False,False
128440,non,14114.5,2573,False,False
3493,non,94936.33333333333,940,False,False
700,non,20919.833333333332,981,False,False
135261,non,56027.833333333336,668,False,False
17661,overrated,10115.833333333334,23986,False,True
